GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With an Internet subscription,Margin of Error; Total: - With an Internet subscription,Estimate; Total: - With an Internet subscription - Dial-up alone,Margin of Error; Total: - With an Internet subscription - Dial-up alone,"Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic, or DSL","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic, or DSL",Estimate; Total: - With an Internet subscription - Satellite Internet service,Margin of Error; Total: - With an Internet subscription - Satellite Internet service,Estimate; Total: - With an Internet subscription - Other service,Margin of Error; Total: - With an Internet subscription - Other service,Estimate; Total: - Internet access without a subscription,Margin of Error; Total: - Internet access without a subscription,Estimate; Total: - No Internet access,Margin of Error; Total: - No Internet access
1400000US42091200800,42091200800,"Census Tract 2008, Montgomery County, Pennsylvania",1195,107,967,105,8,12,918,98,29,25,87,58,61,48,167,76
1400000US42091200901,42091200901,"Census Tract 2009.01, Montgomery County, Pennsylvania",1562,75,1097,102,0,10,1066,105,0,10,10,15,67,59,398,88
1400000US42091200902,42091200902,"Census Tract 2009.02, Montgomery County, Pennsylvania",513,50,397,52,0,10,340,56,24,27,51,39,14,22,102,59
1400000US42091200903,42091200903,"Census Tract 2009.03, Montgomery County, Pennsylvania",1850,90,1577,117,7,12,1427,117,14,17,38,39,47,43,226,78
1400000US42091200906,42091200906,"Census Tract 2009.06, Montgomery County, Pennsylvania",744,61,620,66,4,6,596,65,6,9,22,21,11,12,113,39
1400000US42091200907,42091200907,"Census Tract 2009.07, Montgomery County, Pennsylvania",951,81,856,86,0,10,794,85,24,27,0,10,22,19,73,38
1400000US42091200908,42091200908,"Census Tract 2009.08, Montgomery County, Pennsylvania",878,54,734,56,0,10,708,57,18,14,56,36,34,26,110,44
1400000US42091201003,42091201003,"Census Tract 2010.03, Montgomery County, Pennsylvania",2124,86,1870,107,0,10,1802,120,46,43,70,67,83,49,171,81
1400000US42091201004,42091201004,"Census Tract 2010.04, Montgomery County, Pennsylvania",2190,122,1863,138,11,18,1775,143,16,26,104,94,157,98,170,84
1400000US42091201005,42091201005,"Census Tract 2010.05, Montgomery County, Pennsylvania",1144,43,1094,49,0,10,1058,53,23,19,0,10,14,19,36,31
1400000US42091201006,42091201006,"Census Tract 2010.06, Montgomery County, Pennsylvania",926,41,833,54,6,8,778,54,54,28,22,28,27,24,66,37
1400000US42091201100,42091201100,"Census Tract 2011, Montgomery County, Pennsylvania",1316,95,1099,111,0,10,1031,113,0,10,23,32,69,47,148,64
1400000US42091201201,42091201201,"Census Tract 2012.01, Montgomery County, Pennsylvania",2325,101,2072,105,14,22,2046,106,52,48,99,85,53,43,200,100
1400000US42091201203,42091201203,"Census Tract 2012.03, Montgomery County, Pennsylvania",1299,88,982,102,8,14,893,103,7,12,24,22,25,23,292,76
1400000US42091201204,42091201204,"Census Tract 2012.04, Montgomery County, Pennsylvania",900,76,792,79,4,7,770,76,13,11,6,9,40,32,68,30
1400000US42091201301,42091201301,"Census Tract 2013.01, Montgomery County, Pennsylvania",1353,99,1116,111,0,10,1073,116,0,10,49,54,24,24,213,98
