date_submitted,ideal_adoption_timeline,reason_for_adoption,specific_animal,adults_in_home,children_in_home,all_household_agree,allergies,home_owner,home_pet_policy,experience,budget_monthly,budget_emergency,home_alone_avg,home_alone_max,pet_kept,exercise,needs,return_pet,how_heard,outcome_trello_id,City,State,ZIP,animal_type
12/27/2018,one-month-or-more,myself,FALSE,1,0,yes,mildly-allergic,myself,NA,"grew-up-with-pet,lived-wit-previous-housemates-pets",100,2500,0,6,inside-only,"toy-mice,wand-toys",scratching-post,"none,allergies-appear",NA,5c23b9c9afe9f63c84e03f76,PHILADELPHIA,PA,19148,cat
12/27/2018,today,myself,TRUE,2,1,yes,no-allergies,myself,NA,"grew-up-with-pet,euthanized-a-pet,currently-have-pet,lived-wit-previous-housemates-pets",150,500,8,12,inside-only,"wand-toys,other-pets,toy-mice","nail-clip,scratching-post",none,other,NA,HUNTINGDON VALLEY,PA,19006,cat
12/27/2018,today,myself,TRUE,0,0,yes,no-allergies,company,yes,"euthanized-a-pet,grew-up-with-pet,given-pet-to-another,currently-have-pet,lived-wit-previous-housemates-pets",300,5e3,8,8,inside-only,"toy-mice,wand-toys,other-pets","scratching-post,nail-clip",becomes-aggressive,NA,NA,PHILADELPHIA,PA,19104,cat
12/27/2018,one-month-or-more,myself,TRUE,1,0,yes,no-allergies,family-member-or-friend,NA,"grew-up-with-pet,currently-have-pet,euthanized-a-pet,lived-wit-previous-housemates-pets",500,800,7,10,inside-only,"other-pets,toy-mice,wand-toys,not-much","nail-clip,scratching-post,other","allergies-appear,moving-too-far,becomes-aggressive","website,other",NA,PHILADELPHIA,PA,19145,cat
12/27/2018,today,"my-kids,mouser,gift",FALSE,0,2,"yes,a-surprise",mildly-allergic,myself,NA,grew-up-with-pet,250,500,NA,NA,inside-only,"toy-mice,wand-toys","scratching-post,nail-clip",none,NA,NA,PHILADELPHIA,PA,19126,cat
12/26/2018,today,myself,FALSE,1,0,yes,no-allergies,myself,NA,"given-pet-to-another,euthanized-a-pet,grew-up-with-pet,lived-wit-previous-housemates-pets",100,1e3,10,12,inside-only,"toy-mice,wand-toys","nail-clip,scratching-post","becomes-aggressive,litter-box-issues",NA,NA,DEVON,PA,19333,cat
12/26/2018,one-month-or-more,"myself,mouser,other",TRUE,2,0,yes,no-allergies,myself,NA,"grew-up-with-pet,lived-wit-previous-housemates-pets",100,1e3,8,18,inside-only,"toy-mice,wand-toys,not-much",scratching-post,none,website,NA,PHILADELPHIA,PA,19145,cat
12/26/2018,today,"my-kids,myself",TRUE,1,2,yes,no-allergies,myself,NA,grew-up-with-pet,100,1e3,8,NA,inside-only,"toy-mice,wand-toys",scratching-post,none,other,NA,HAVERTOWN,PA,19083,cat
12/26/2018,today,myself,TRUE,0,0,yes,no-allergies,family-member-or-friend,NA,"grew-up-with-pet,lived-wit-previous-housemates-pets",100,500,6,12,inside-only,toy-mice,scratching-post,none,other,NA,PHILADELPHIA,PA,19107,cat
12/26/2018,today,myself,FALSE,0,0,yes,no-allergies,company,yes,"grew-up-with-pet,lived-wit-previous-housemates-pets",150,300,7,7,inside-only,"toy-mice,wand-toys",scratching-post,"litter-box-issues,becomes-aggressive",NA,NA,PHILADELPHIA,PA,19103,cat
12/26/2018,today,myself,FALSE,1,0,yes,no-allergies,myself,NA,"euthanized-a-pet,grew-up-with-pet,currently-have-pet",200,1400,4,12,"inside-with-yard-access,leash-harness","toy-mice,wand-toys,other-pets",scratching-post,none,NA,NA,TREVOSE,PA,19053,cat
12/26/2018,today,myself,FALSE,0,0,yes,no-allergies,company,yes,grew-up-with-pet,500,1500,NA,NA,inside-only,"toy-mice,wand-toys",scratching-post,none,NA,NA,PHILADELPHIA,PA,19102,cat
12/25/2018,one-month-or-more,myself,FALSE,1,0,yes,no-allergies,company,yes,lived-wit-previous-housemates-pets,300,1500,8,12,inside-only,"wand-toys,toy-mice,not-much","nail-clip,scratching-post",none,NA,NA,PHILADELPHIA,PA,19146,cat
12/25/2018,one-month-or-more,myself,FALSE,0,0,yes,no-allergies,myself,NA,grew-up-with-pet,0.5,500,7,12,inside-only,"toy-mice,wand-toys","nail-clip,scratching-post",none,NA,NA,PHILADELPHIA,PA,19130,cat
12/25/2018,one-month-or-more,myself,FALSE,1,0,yes,no-allergies,company,havent-asked,"given-a-pet-to-a-shelter,pet-died-in-care,euthanized-a-pet,grew-up-with-pet",500,2500,NA,4,inside-only,"toy-mice,wand-toys",nail-clip,none,NA,NA,MEDIA,PA,19064,cat
12/24/2018,one-month-or-more,myself,FALSE,1,0,yes,no-allergies,company,yes,grew-up-with-pet,100,3e3,4,9,inside-only,"not-much,toy-mice,wand-toys","scratching-post,nail-clip",none,NA,NA,PHILADELPHIA,PA,19103,cat
12/24/2018,today,myself,TRUE,2,1,yes,no-allergies,myself,NA,"grew-up-with-pet,never-lived-with-or-owned-a-pet-before",50,1e3,5,5,inside-only,"toy-mice,wand-toys",scratching-post,becomes-aggressive,website,NA,PHILADELPHIA,PA,19124,cat
12/24/2018,today,"my-kids,myself",FALSE,1,3,yes,no-allergies,family-member-or-friend,NA,"grew-up-with-pet,lived-wit-previous-housemates-pets",80,100,9,NA,inside-only,"toy-mice,wand-toys",scratching-post,becomes-aggressive,NA,NA,PHILADELPHIA,PA,19138,cat
12/24/2018,one-month-or-more,my-kids,TRUE,0,1,yes,no-allergies,company,yes,pet-died-in-care,150,200,8,8,inside-only,toy-mice,scratching-post,none,other,NA,CLIFTON HEIGHTS,PA,19018,cat
12/24/2018,one-month-or-more,my-kids,TRUE,0,1,yes,no-allergies,myself,NA,"grew-up-with-pet,lived-wit-previous-housemates-pets",300,3e3,NA,NA,inside-only,"wand-toys,toy-mice",not-sure,"allergies-appear,becomes-aggressive",other,NA,WILMINGTON,DE,19805,cat
12/24/2018,today,"myself,my-kids,mouser",FALSE,1,4,yes,no-allergies,company,yes,"grew-up-with-pet,lived-wit-previous-housemates-pets",100,500,NA,8,"inside-only,inside-with-yard-access","toy-mice,wand-toys",scratching-post,allergies-appear,NA,NA,PHILADELPHIA,PA,19133,cat
12/23/2018,one-month-or-more,myself,TRUE,3,0,yes,no-allergies,family-member-or-friend,NA,"grew-up-with-pet,currently-have-pet",200,1e3,6,10,inside-only,"not-much,other-pets,wand-toys,toy-mice","nail-clip,scratching-post",none,website,NA,GLENDORA,NJ,08029,cat
12/23/2018,today,myself,TRUE,0,0,yes,no-allergies,myself,NA,"grew-up-with-pet,currently-have-pet",100,5e3,7,12,inside-only,"toy-mice,wand-toys,other-pets","nail-clip,scratching-post",none,other,NA,PHILADELPHIA,PA,19147,cat
12/23/2018,one-month-or-more,my-kids,FALSE,2,2,yes,no-allergies,myself,NA,grew-up-with-pet,60,500,NA,NA,inside-only,"wand-toys,toy-mice","nail-clip,scratching-post","becomes-aggressive,allergies-appear",NA,NA,DARBY,PA,19023,cat
12/23/2018,today,myself,TRUE,2,0,yes,no-allergies,company,yes,"euthanized-a-pet,grew-up-with-pet,currently-have-pet,never-lived-with-or-owned-a-pet-before",300,3e3,8,10,inside-only,"toy-mice,wand-toys,other-pets","nail-clip,scratching-post,other",none,other,NA,MARLTON,NJ,08053,cat
12/23/2018,today,my-kids,FALSE,0,1,yes,no-allergies,family-member-or-friend,NA,grew-up-with-pet,200,200,4,4,inside-only,toy-mice,scratching-post,none,NA,NA,PHILADELPHIA,PA,19145,cat
12/23/2018,next-few-weeks,myself,TRUE,0,0,yes,no-allergies,company,yes,"euthanized-a-pet,grew-up-with-pet,currently-have-pet",400,5e3,8,14,inside-only,"toy-mice,wand-toys,other-pets","nail-clip,scratching-post",becomes-aggressive,other,NA,PHILADELPHIA,PA,19104,cat
12/23/2018,today,"myself,my-kids,gift",FALSE,1,3,"yes,a-surprise",no-allergies,myself,NA,grew-up-with-pet,150,300,6,NA,inside-only,"toy-mice,wand-toys,other-pets",not-sure,none,NA,5c1fc899f249bd6e1f45d851,PHILADELPHIA,PA,19129,cat
12/23/2018,one-month-or-more,"myself,my-kids",FALSE,1,1,a-surprise,no-allergies,NA,NA,"given-pet-to-another,grew-up-with-pet",75,100,2,2,inside-only,"toy-mice,wand-toys",scratching-post,"allergies-appear,becomes-aggressive",NA,NA,PHILADELPHIA,PA,19138,cat
12/23/2018,today,myself,FALSE,0,3,yes,no-allergies,myself,NA,"grew-up-with-pet,currently-have-pet",200,200,6,6,inside-only,"toy-mice,other-pets",scratching-post,allergies-appear,NA,NA,PHILADELPHIA,PA,19120,cat
12/23/2018,one-month-or-more,myself,TRUE,0,0,yes,mildly-allergic,company,yes,lived-wit-previous-housemates-pets,200,1e3,10,NA,"inside-only,leash-harness","toy-mice,wand-toys,other-pets","scratching-post,other","not-allowed-new-living-space,moving-too-far,becomes-aggressive",other,NA,PHILADELPHIA,PA,19106,cat
12/23/2018,today,my-kids,FALSE,1,1,yes,no-allergies,myself,NA,"given-a-pet-to-a-shelter,grew-up-with-pet",200,1e3,2,4,inside-only,toy-mice,nail-clip,none,NA,NA,DARBY,PA,19023,cat
12/23/2018,today,"myself,my-kids",FALSE,2,4,yes,no-allergies,company,yes,grew-up-with-pet,200,1e3,NA,3,inside-only,"toy-mice,wand-toys,other-pets",scratching-post,none,NA,NA,PHILADELPHIA,PA,19135,cat
