"GEOID","tract_unemployment_pct","tract_commute_public_transit","tract_median_income","tract_mean_income","tract_poverty_pct"
42101009600,259,657,26412,36554,35.2
42101009801,138,347,45994,64764,19.6
42101009802,262,954,66563,63175,20.3
42101010100,618,1867,41875,53004,24.3
42101010200,133,436,18989,29211,40.4
42101010300,115,380,22284,33621,40.1
42101010400,297,449,18575,31142,45.7
42101010500,209,492,20554,34971,44.9
42101010700,202,522,19583,29104,41.1
42101010800,234,589,22701,33566,43.1
42101010900,111,307,23567,36627,55.5
42101011000,217,448,18951,35775,48.2
42101011100,201,483,23548,35199,39.3
42101011200,224,738,27092,38124,37.6
42101011300,196,610,36203,40006,28.9
42101011400,301,1512,46954,62169,17.4
42101011500,326,626,51155,61397,15.8
42101011700,113,141,57813,79505,35.9
42101011800,175,801,38254,49734,24.7
42101011900,218,681,28036,41078,30.3
42101012000,109,152,55139,67435,13.2
42101012100,104,294,37601,48232,30.2
42101012203,1,57,33250,46393,25.2
42101012204,123,364,55434,58262,19.6
42101012500,115,287,72804,120820,13.7
42101013100,125,199,38508,63625,30.9
42101013300,125,482,56894,75402,32.8
42101013401,50,176,86563,119653,7.2
42101013402,31,317,90956,109524,7.1
42101013500,53,387,63311,91865,15.6
42101013601,37,395,108796,145403,2.1
42101013602,124,493,81250,108534,9.3
42101013700,182,722,36077,58034,31.5
42101013800,100,203,27065,40364,33.1
42101013900,88,203,15028,33194,41.7
42101014000,158,632,34306,41927,41.5
42101014100,167,262,21750,48175,34.9
42101014200,43,648,89054,116585,8.7
42101014300,97,243,77692,101354,11.9
42101014400,164,572,57647,68952,32.1
42101014500,91,155,18438,39084,44.8
42101014700,105,442,12662,28945,62.1
42101014900,169,373,16725,27348,38.7
42101015101,42,369,22000,38550,50.7
42101015102,310,402,12588,23975,49.6
42101015200,314,546,20337,27933,57.7
42101015300,268,418,11875,19205,68
42101015600,88,182,21875,37968,43.1
42101015700,165,487,40000,51280,26.8
42101015800,303,955,64082,76732,14.2
42101016000,441,742,52373,69544,10.3
42101016100,504,717,56250,68436,26.4
42101016200,130,229,23151,35600,47.6
42101016300,143,128,13967,26629,54.9
42101016400,285,272,14130,29428,49.9
42101016500,174,176,9945,32598,58.1
42101016600,140,237,11825,24671,51.8
42101016701,285,372,17855,31935,48.3
42101016702,97,458,15659,24201,36.3
42101016800,198,453,15991,27744,46.8
42101016901,304,366,22978,33910,37.8
42101016902,94,582,19236,30533,45.9
42101017000,99,248,39432,53335,34.9
42101017100,135,637,28042,37343,24.1
42101017201,196,406,25905,40112,40.7
42101017202,162,154,15395,22372,44.6
42101017300,41,339,19514,35926,31.7
42101017500,583,655,15846,25449,59.6
42101017701,383,463,19250,27391,55.9
42101017800,479,614,17014,23998,56.5
42101017900,693,410,32337,38131,26.4
42101018001,110,186,56563,74596,13.2
42101018002,334,311,41528,57751,24.9
42101018300,182,183,65833,75528,5.6
42101019000,624,644,35589,48155,31
42101019100,448,360,32878,41041,32.6
42101019200,710,515,25446,34940,52.1
42101019501,427,408,13017,20915,53
42101019502,229,164,19656,25602,50.9
42101019700,724,579,18763,31185,44.4
42101019800,558,705,23031,32178,50.2
42101019900,659,248,14838,23386,62.1
42101020000,97,173,19943,24571,58.5
42101020101,177,449,11904,19583,46.8
42101020200,359,360,14751,22868,46
42101020400,151,305,21495,29464,34.3
42101020500,280,229,16761,24162,32.5
42101020600,23,96,45469,81675,24.2
42101020700,196,780,65385,87381,16.8
42101020800,92,289,45566,74813,27
42101020900,104,309,57188,75286,12.5
42101021000,73,513,59063,83448,23.8
42101021200,46,210,66118,79871,7.9
42101021300,129,215,67195,97358,9.9
42101021400,141,538,68750,81922,20.3
42101021500,90,350,70223,81853,15.6
42101021600,103,349,71280,93654,16.6
42101021700,146,355,80920,93234,3.5
42101021800,253,478,51815,62084,18.9
42101021900,53,47,74167,89256,5.6
42101022000,61,94,102298,116924,1.3
42101023600,79,169,67759,109310,10.4
42101023700,445,769,53799,87843,9
42101023800,161,598,56103,68741,12.6
42101024000,130,558,41887,61275,26.2
42101024100,87,94,15506,34344,43.7
42101024200,143,458,22738,42370,34.1
42101024300,146,336,30382,48824,32.1
42101024400,237,195,26489,40128,34.8
42101024500,280,320,15500,28618,59
42101024600,130,174,22143,26289,41
42101024700,255,260,22111,32881,33.6
42101024900,157,455,28417,34121,39.5
42101025200,329,962,34183,40777,30.8
42101025300,348,606,40813,52388,19.6
42101025500,129,373,62162,81040,7.8
42101025700,133,440,56758,72105,9.6
42101025900,450,616,45788,57193,10.8
42101026000,324,275,45766,53013,12
42101026200,122,519,46563,59021,7.5
42101026302,541,853,43212,57727,11
42101026400,478,431,39653,61882,10.1
42101026500,253,987,40893,48232,23.4
42101026600,525,629,46641,60124,14.8
42101026700,644,890,32984,51773,24.9
42101026900,107,196,51912,61912,15.4
42101027000,174,274,53935,71140,14.2
42101027200,332,623,43794,48969,15.7
42101027401,222,213,26492,36968,21.5
42101027402,410,878,36208,41697,27.6
42101027500,402,555,42337,46999,25.8
42101027600,197,728,28449,40875,17.9
42101027700,720,524,26232,40802,29.7
42101027901,224,645,37130,44854,29.5
42101028000,245,368,21106,33042,37.4
42101028300,483,688,25000,36954,33.7
42101028500,269,243,26033,40361,38.9
42101028600,330,773,25625,30809,34.2
42101028800,166,327,23769,34483,43.8
42101028901,280,242,31250,38998,31.3
42101028902,538,708,24688,36620,39
42101029000,317,649,35786,37908,43.1
42101029100,361,229,21570,33895,46.7
42101029200,334,297,45092,60194,18.6
42101029400,174,243,19992,26990,55.2
42101029800,300,358,27598,37163,33.5
42101029900,388,454,19656,32485,49.6
42101030000,755,864,28838,38410,35.9
42101030100,393,685,33647,40000,35.8
42101030200,630,815,48922,61319,19.2
42101030501,459,696,32390,43601,35
42101030502,501,531,41667,49407,31.5
42101030600,437,661,41840,58039,11.1
42101030700,286,454,39811,52271,26.7
42101030800,320,267,54094,64837,15.3
42101031000,420,344,40956,65762,20.2
42101031101,458,282,33613,41473,27.9
42101031102,292,636,41750,58975,12.6
42101031200,278,175,33734,46989,31.7
42101031300,406,419,40337,48044,31.4
42101031402,229,446,34641,46437,28.3
42101031501,339,418,44615,58152,16.8
42101031502,205,271,42594,51405,24.3
42101031600,672,392,38693,53819,26.3
42101031700,310,491,47565,54115,13.2
42101031800,209,124,42404,53955,24.6
42101031900,254,530,40283,50507,19.5
42101032000,429,663,44086,54201,14.6
42101032100,356,257,36563,62710,29.3
42101032300,118,359,41940,47646,12.3
42101032500,184,642,44865,51717,29.4
42101032600,416,344,49164,53901,22.2
42101032900,248,378,39673,49051,22
42101033000,513,472,32768,44326,31.6
42101033101,283,170,56592,66319,16.9
42101033102,177,188,43713,55490,14.2
42101033300,152,130,43398,58801,14
42101033400,221,348,48784,56974,20.8
42101033500,243,258,58546,58870,26.8
42101033600,515,485,43804,55950,18.1
42101033701,120,363,33689,44938,19.8
42101033702,182,363,55636,70925,9.8
42101033800,378,405,47016,63107,13.1
42101033900,167,226,53373,75218,15.6
42101034000,98,188,69444,76345,9.7
42101034100,181,472,70804,86960,9.8
42101034400,76,395,77348,92219,5.4
42101034501,42,208,30015,43972,22.2
42101034502,226,329,44739,55550,16.2
42101034701,194,198,52969,64445,9.9
42101034801,90,191,49161,62419,9.1
42101034802,204,235,40595,63884,13.5
42101034803,125,147,59508,69851,5
